id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
2767,0.00910600,0.00000438,0.00003105,0.0000310638297872,knapsack,1,0,2,0.00088962,98,98,54
2768,0.13000000,0.00002580,0.00004446,0.00005000,bnb,7,0,1,,98,91,-2367
2769,0.01000000,0.00000261,0.00001851,0.0000185106382979,knapsack,1,0,2,0.00009739,93,93,-71
2770,0.80000000,0.00000986,0.00001308,0.0000151226993865,bnb,9,0,1,,93,84,-5189
2771,0.01112200,0.00000141,0.00001000,0.00001000,knapsack,1,0,2,0.00387659,84,84,-180
2772,0.05000000,0.00000804,0.00003861,0.0000386538461538,knapsack,2,0,2,0.00008935,85,84,-393
2773,2.55453100,0.00000889,0.00001003,0.0000100338600451,srd,12,0,2,0.83806633,88,77,-6979
2774,0.01033100,0.00002445,0.00017336,0.000173404255319,srd,1,0,2,0.05964455,81,81,1358
2775,0.05210000,0.00005318,0.00008340,0.0000910616438356,bnb,8,0,1,,87,79,-473
2776,0.00100000,0.00001442,0.00010224,0.000102269503546,knapsack,1,0,2,0.00065158,80,80,596
2777,0.05510000,0.00001006,0.00003643,0.0000364492753623,knapsack,3,0,2,0.00008961,84,82,-582
2778,0.00410000,0.00000470,0.00002256,0.0000225961538462,knapsack,2,0,2,0.00006927,83,82,-732
2779,0.01000000,0.00000955,0.00006772,0.0000677304964539,knapsack,1,0,2,0.00035982,82,82,241
2780,0.00124900,0.00003226,0.00012680,0.000131673469388,bnb,3,0,1,,86,83,653
2781,2.47775800,0.00004557,0.00010084,0.00010171875000,bnb,6,0,1,,83,77,53
2782,0.02567800,0.00001852,0.00008902,0.0000890384615385,knapsack,2,0,2,0.00334034,77,76,378
2783,2.69195600,0.00006132,0.00014582,0.000160944881890,knapsack,5,0,1,,77,72,2119
2784,0.00210000,0.00002684,0.00019033,0.000190354609929,knapsack,1,0,2,0.00121350,73,73,1456
2785,0.00110000,0.00003230,0.00022907,0.000229078014184,knapsack,1,0,2,0.00008120,76,76,1852
2786,0.00140000,0.00003262,0.00023134,0.000231347517730,knapsack,1,0,2,0.00510706,76,76,1875
2787,0.00110000,0.00002053,0.00014559,0.000145602836879,knapsack,1,0,2,0.00398653,80,80,1365
2788,0.00120000,0.00001747,0.00012384,0.000123900709220,knapsack,1,0,2,0.00276906,80,80,810
2789,0.00500000,0.00002193,0.00015547,0.000155531914894,srd,1,0,2,0.27930474,80,80,1123
2790,0.00120000,0.00002675,0.00018967,0.000189716312057,srd,1,0,2,0.06455556,80,80,1461
2791,0.00510000,0.00001604,0.00011373,0.000113758865248,srd,1,0,2,0.09488396,82,82,697
2792,0.01010000,0.00001499,0.00010631,0.000106312056738,knapsack,1,0,2,0.00187305,87,87,944
2793,0.00320000,0.00000649,0.00003117,0.0000312019230769,knapsack,2,0,2,0.00036257,87,86,-518
2794,0.01250900,0.00001996,0.00014149,0.000141560283688,srd,1,0,2,0.40947104,89,89,972
2795,0.50550000,0.00004595,0.00011992,0.000120603674541,bnb,5,0,1,,89,84,691
2796,1.00000000,0.00014636,0.00070362,0.000703653846154,srd,2,0,2,0.26313233,91,90,10994
2797,0.10010000,0.00009202,0.00065257,0.000652624113475,srd,1,0,2,0.18952852,91,91,6383
2798,0.02000000,0.00006819,0.00048360,0.000483617021277,srd,1,0,2,0.07129080,97,97,4680
2799,0.00510000,0.00006782,0.00048099,0.000480992907801,srd,1,0,2,0.09483218,98,98,4654
2800,0.00510000,0.00008821,0.00062554,0.000625602836879,srd,1,0,2,0.00481179,98,98,6085
2801,0.01250000,0.00007199,0.00051051,0.000510567375887,srd,1,0,2,0.04742801,98,98,5005
2802,0.10010000,0.00003284,0.00012252,0.000134040816327,bnb,3,0,1,,100,97,729
2803,0.01020000,0.00002187,0.00015505,0.000155106382979,srd,1,0,2,0.35969815,97,97,1486
2804,0.39500000,0.00005345,0.00016158,0.000170766773163,bnb,4,0,1,,97,93,1946
2805,0.00200000,0.00001759,0.00012474,0.000124751773050,srd,1,0,2,0.26692532,93,93,1186
2806,0.00100000,0.00003169,0.00008870,0.000101246006390,bnb,4,0,1,,93,89,76
2807,0.10000000,0.00005219,0.00011512,0.000116495535714,bnb,6,0,1,,89,83,655
2808,0.10000000,0.00000963,0.00001878,0.0000214955357143,bnb,6,0,1,,83,77,-3196
2809,0.10000000,0.00001179,0.00005665,0.0000566826923077,knapsack,2,0,2,0.00093821,77,76,-91
2810,0.00220000,0.00000423,0.00002030,0.0000203365384615,knapsack,2,0,2,0.00060703,81,80,-698
2811,0.00117600,0.00000287,0.00002030,0.0000203546099291,knapsack,1,0,2,0.00241813,80,80,-157
2812,1.00000000,0.00002933,0.00014099,0.000141009615385,srd,2,0,2,0.07056606,88,87,1598
2813,0.03313300,0.00003135,0.00022229,0.000222340425532,srd,1,0,2,0.34681098,93,93,2124
2814,0.10000000,0.00014306,0.00068776,0.000687788461538,srd,2,0,2,0.20617478,93,92,10729
2815,0.00510000,0.00013349,0.00094667,0.000946737588652,srd,1,0,2,0.46974539,92,92,9295
2816,1.00010000,0.00024363,0.00062170,0.000639448818898,bnb,5,0,1,,94,89,18351
2817,0.16360800,0.00009506,0.00067417,0.000674184397163,srd,1,0,2,0.33629694,92,92,6597
2818,0.10000000,0.00008927,0.00063306,0.000633120567376,srd,1,0,2,0.16304306,93,93,6190
2819,0.03810000,0.00016584,0.00117614,0.00117617021277,srd,1,0,2,0.01597076,96,96,11567
2820,0.06000000,0.00019498,0.00138281,0.00138283687943,srd,1,0,2,0.12933354,96,96,13613
2821,0.50134900,0.00030429,0.00146292,0.00146293269231,srd,2,0,2,0.51784671,98,97,23674
2822,1.00000000,0.00051600,0.00164267,0.00164856230032,knapsack,4,0,1,,97,93,41980
2823,1.00000000,0.00057802,0.00181882,0.00184670926518,bnb,4,0,1,,93,89,47442
2824,0.00021000,0.00019730,0.00139922,0.00139929078014,knapsack,1,0,2,0.00019973,92,92,13775
2825,0.01000000,0.00013488,0.00095656,0.000956595744681,srd,1,0,2,0.07986512,92,92,9393
2826,1.00010000,0.00019973,0.00080164,0.000815224489796,bnb,3,0,1,,95,92,14566
2827,1.00010000,0.00017203,0.00065435,0.000702163265306,bnb,3,0,1,,93,90,12414
2828,0.12616600,0.00013862,0.00066640,0.000666442307692,srd,2,0,2,0.15522528,91,90,10372
2829,0.01100000,0.00008744,0.00062011,0.000620141843972,srd,1,0,2,0.28871256,90,90,6062
2830,0.03020000,0.00003934,0.00027899,0.000279007092199,srd,1,0,2,0.16232655,91,91,2685
2831,0.02739900,0.00001730,0.00012266,0.000122695035461,srd,1,0,2,0.13491025,91,91,1138
2832,0.80000000,0.00006666,0.00020585,0.000212971246006,bnb,4,0,1,,93,89,3081
2833,1.00010000,0.00006842,0.00006798,0.0000691111111111,bnb,14,0,1,,93,79,-2964
2834,0.03000000,0.00005124,0.00036338,0.000363404255319,srd,1,0,2,0.28481151,81,81,3520
2835,0.06920800,0.00005656,0.00040110,0.000401134751773,srd,1,0,2,0.03073544,82,82,3894
2836,0.03460000,0.00005106,0.00036210,0.000362127659574,srd,1,0,2,0.30164588,82,82,3508
2837,0.06000000,0.00004367,0.00030971,0.000309716312057,srd,1,0,2,0.28528423,82,82,3018
2838,0.00020000,0.00004221,0.00029932,0.000299361702128,srd,1,0,2,0.14975779,84,84,2914
2839,0.03050000,0.00004030,0.00028579,0.000285815602837,knapsack,1,0,2,0.00019514,84,84,2780
2840,0.00310000,0.00002820,0.00019998,0.00020000,knapsack,1,0,2,0.00187180,84,84,1930
2841,0.03000000,0.00002157,0.00015291,0.000152978723404,srd,1,0,2,0.01997843,84,84,1465
2842,0.04019600,0.00005750,0.00040774,0.000407801418440,srd,1,0,2,0.09465675,87,87,3987
2843,0.00310000,0.00006240,0.00044254,0.000442553191489,knapsack,1,0,2,0.00763760,87,87,4332
2844,1.70043600,0.00014217,0.00044118,0.000454217252396,bnb,4,0,1,,87,83,9644
2845,0.10566200,0.00005453,0.00038668,0.000386737588652,srd,1,0,2,0.18299603,83,83,3779
2846,0.02018500,0.00004118,0.00029199,0.000292056737589,srd,1,0,2,0.03941837,83,83,2842
2847,0.08000000,0.00002986,0.00021177,0.000211773049645,srd,1,0,2,0.10580572,83,83,2048
2848,0.00030000,0.00003185,0.00022582,0.000225886524823,srd,1,0,2,0.10547387,83,83,1958
2849,0.05020000,0.00003569,0.00025307,0.000253120567376,srd,1,0,2,0.21123323,83,83,2456
2850,0.00100000,0.00005191,0.00036809,0.000368156028369,knapsack,1,0,2,0.00081989,88,88,3596
2851,0.00510000,0.00006701,0.00047524,0.000475248226950,knapsack,1,0,2,0.00247059,88,88,4706
2852,0.01151000,0.00011803,0.00083707,0.000837092198582,knapsack,1,0,2,0.00068097,93,93,8288
2853,0.25000000,0.00028924,0.00108210,0.00118057142857,bnb,3,0,1,,94,91,22339
2854,0.01000000,0.00013831,0.00098091,0.000980921985816,srd,1,0,2,0.13961948,92,92,9712
2855,0.00250000,0.00017051,0.00120929,0.00120929078014,srd,1,0,2,0.01288949,94,94,11973
2856,0.08380600,0.00018725,0.00132801,0.00132801418440,srd,1,0,2,0.11600675,94,94,13148
2857,0.01010000,0.00016584,0.00117614,0.00117617021277,srd,1,0,2,0.16986180,106,106,11595
2858,0.01510000,0.00017562,0.00124548,0.00124553191489,srd,1,0,2,0.07955656,106,106,12281
2859,0.01510000,0.00011187,0.00079338,0.000793404255319,srd,1,0,2,0.08478813,108,108,7805
2860,0.00610000,0.00011179,0.00079280,0.000792836879433,srd,1,0,2,0.27859972,108,108,7800
2861,2.65359300,0.00036622,0.00115292,0.00117003194888,bnb,4,0,1,,113,109,29059
2862,3.00010000,0.00030000,0.00093560,0.000958466453674,bnb,4,0,1,,110,106,23350
2863,0.10000000,0.00016344,0.00078573,0.000785769230769,srd,2,0,2,0.11649447,106,105,12392
2864,0.10000000,0.00018457,0.00087737,0.00104276836158,bnb,2,0,1,,108,106,13412
2865,0.15000000,0.00020469,0.00080778,0.000835469387755,bnb,3,0,1,,106,103,15036
2866,0.01510000,0.00016344,0.00115913,0.00115914893617,srd,1,0,2,0.10074331,110,110,11427
2867,0.00411000,0.00011889,0.00084317,0.000843191489362,srd,1,0,2,0.36557111,112,112,8298
2868,0.03324500,0.00007644,0.00054210,0.000542127659574,srd,1,0,2,0.46667856,113,113,5368
2869,0.00311000,0.00002459,0.00017438,0.000174397163121,srd,1,0,2,0.09676541,114,114,1727
2870,0.02000000,0.00003817,0.00018348,0.000183509615385,srd,2,0,2,0.09986183,114,113,2385
2871,0.00311000,0.00003800,0.00026946,0.000269503546099,srd,1,0,2,0.09759531,113,113,2669
2872,0.13700000,0.00005067,0.00024360,0.000243605769231,srd,2,0,2,0.37326922,113,112,3390
2873,0.03910000,0.00004995,0.00035425,0.000354255319149,srd,1,0,2,0.09018359,112,112,3508
2874,0.00501000,0.00006227,0.00044161,0.000441631205674,srd,1,0,2,0.17792376,112,112,4372
2875,0.01500000,0.00008846,0.00062734,0.000627375886525,srd,1,0,2,0.12060478,116,116,6211
2876,0.01010000,0.00006200,0.00043967,0.000439716312057,srd,1,0,2,0.08660341,118,118,4353
2877,0.01000000,0.00011941,0.00084686,0.000846879432624,srd,1,0,2,0.26848031,121,121,8385
